id,title,category,subtype,summary,authors,institutions,disciplines,tools,audience,difficulty,duration,delivery_format,language,maturity,version,published,last_reviewed,content_license,software_license,cohort,collection_ids,browse_url,download_url,released
mlu-000001,Curriculum Embedding Lab — Embed AI in Your Course,professional-student-development,lab,"A 90-minute faculty lab whose deliverable is a decision, not a demo. Each participant builds a working, discipline-grounded AI tool from a persona matched to their field, then writes a curriculum plan for where it belongs in a course they actually teach — and, explicitly, where it does not. Ships with a student-facing companion notebook (Quiz Me, Socratic Hint, Explain-Back) and six licence-clean discipline personas.",Tariq Hook,Delaware State University,Faculty Development; Cross-disciplinary,Amazon Bedrock; Amazon Nova Lite; Amazon SageMaker Studio; LangChain; FAISS; Jupyter; Python,Faculty; Academic staff; Instructional designers,intro,~90 minutes,in-person; online-synchronous,en,classroom-tested,1.0.0,2026-09-17,2026-09-17,CC-BY-4.0,MIT,AWS-MLU Faculty Fellows 2026,aws-mlu-faculty-sequence,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/professional-student-development/mlu-000001-curriculum-embedding-lab,,no
mlu-000002,Discipline-Specific AI Teaching Assistant — Seminar Lab,professional-student-development,seminar,"The technical lab of the set. In about 15 minutes participants build a grounded, source-citing AI tutor for their own field and see directly what grounding buys them, because the notebook asks the same question with and without the source document. Ships in two paths — free Google Colab plus Hugging Face, or SageMaker Studio plus Bedrock — so faculty keep a working copy after cloud access ends.",Tariq Hook,Delaware State University,Faculty Development; Cross-disciplinary; Computer Science,Google Colab; Hugging Face; Amazon Bedrock; Amazon SageMaker Studio; LangChain; FAISS; Jupyter; Python,Faculty; Academic staff,intro,"~15 minutes self-paced, or ~90 minutes as a facilitated lab",in-person; online-synchronous; self-paced,en,classroom-tested,1.0.0,2026-09-17,2026-09-17,CC-BY-4.0,MIT,AWS-MLU Faculty Fellows 2026,aws-mlu-faculty-sequence,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/professional-student-development/mlu-000002-discipline-assistant-seminar,,no
mlu-000003,Class Participation Scoring — Transcript to Draft Score,ml-ai-applications,notebook-tool,"Point this notebook at a Zoom transcript of one class meeting and the material you covered that day. It identifies who spoke, judges what they talked about against your embedded lesson rather than the model's own knowledge, and drafts a 0–4 participation score per student with the evidence behind it. The output is a draft a human reviews, never a grade the tool assigns on its own.",Tariq Hook,Delaware State University,Cross-disciplinary; Faculty Development,Amazon Bedrock; Amazon Nova Lite; Amazon SageMaker Studio; LangChain; FAISS; Jupyter; Python,Faculty; Adjunct faculty,intermediate,"~10 minutes of compute, plus review that scales with class size",self-paced; in-person,en,classroom-tested,1.0.0,2026-09-17,2026-09-17,CC-BY-4.0,MIT,AWS-MLU Faculty Fellows 2026,aws-mlu-faculty-sequence; assessment-tools,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/ml-ai-applications/mlu-000003-participation-scoring,,no
mlu-000004,Paper Autograder — Rubric-Based Draft Grading,ml-ai-applications,notebook-tool,"Point this notebook at your course material, a grading rubric, and a folder of student papers. For each paper it scores every rubric criterion, backs each score with verbatim quotes, computes the weighted grade in code rather than in the model, and drafts separate notes for the instructor and for the student. Runs on Bedrock or fully local via Ollama, where nothing leaves the machine.",Tariq Hook,Delaware State University,Cross-disciplinary; Faculty Development,Amazon Bedrock; Amazon Nova Lite; Amazon SageMaker Studio; Ollama; LangChain; FAISS; Jupyter; Python,Faculty; Adjunct faculty,intermediate,"~5 minutes of compute, plus review that scales with stack size",self-paced; in-person,en,classroom-tested,1.0.0,2026-09-17,2026-09-17,CC-BY-4.0,MIT,AWS-MLU Faculty Fellows 2026,aws-mlu-faculty-sequence; assessment-tools,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/ml-ai-applications/mlu-000004-paper-autograder,,no
mlu-000005,The Assignment Lifecycle — Quick Assessment Demo Session,professional-student-development,workshop,"A 90-minute facilitated session that walks a room through one assignment's full lifecycle — write the rubric, stress-test it, grade against it, and triage submissions before the deadline. Built around a single fluent, confident, and wrong student paper that earns a B+ under a vague rubric and an F under a rubric that names what correct means. Ships a deck, a talk track, a participant handout, and a five-student sample pack.",Tariq Hook,Delaware State University,Faculty Development; Cross-disciplinary; Computer Science,PowerPoint; Python,Faculty; Workshop facilitators; Instructional designers,intro,~90 minutes,in-person,en,pilot,0.1.0,2026-09-17,2026-09-17,CC-BY-4.0,MIT,AWS-MLU Faculty Fellows 2026,assessment-tools,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/professional-student-development/mlu-000005-quick-assessment-demos,,no
mlu-000006,Build and Evaluate an AI Marketing Assistant in PartyRock,course-elements,assignment,"A no-code assignment in which students build a working marketing-content app in Amazon PartyRock, then run one identical scenario through three prompt strategies — bare, role plus context, and fully structured — and score the three outputs against the same five criteria. The app is the hook; the comparison table is the assignment. Built for a mixed-major audience with no programming background.",Sara Mathew,Oklahoma City Community College,Business; Computer Science; Cross-disciplinary,Amazon PartyRock,Undergraduate students; Faculty,intro,~1–2 hours of student work,in-person; online-asynchronous; hybrid,en,classroom-tested,1.0.0,2026-09-19,2026-09-19,CC-BY-4.0,,AWS-MLU Faculty Fellows 2026,,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/course-elements/mlu-000006-partyrock-marketing-assistant,,no
mlu-000007,"Build, Break, and Question a PartyRock Phishing Detector",course-elements,assignment,"Students build a phishing-email classifier in Amazon PartyRock, classify at least 15 emails themselves before the AI sees them, then compare both against instructor-held ground truth. The assignment then inverts: students spend a round trying to fool the detector they just built, log every technique, and write up where a confident-sounding verdict should not be trusted. No code, and the reflection is worth more than the build.",Sara Mathew,Oklahoma City Community College,Computer Science; Cross-disciplinary,Amazon PartyRock,Undergraduate students; Faculty,intro,"~2–3 hours of student work; one 90-minute session, or two 50-minute sessions",in-person; hybrid,en,classroom-tested,1.0.0,2026-09-19,2026-09-19,CC-BY-4.0,,AWS-MLU Faculty Fellows 2026,,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/course-elements/mlu-000007-partyrock-phishing-detector,,no
mlu-000008,Fundamentals of AI Literacy,course-elements,course,"A self-paced, non-credit online course that introduces AI to people who will never build one — new students, faculty, and staff. Three video modules with quizzes carry the vocabulary, from machine learning through agentic AI, and a final project makes it concrete: students write one structured prompt about careers in their own major, run it unchanged through PartyRock, ChatGPT, and Copilot, and defend which answer was best. Completion earns a digital badge.",Lisa Taylor,Talladega College,Cross-disciplinary; Faculty Development; Education,Amazon PartyRock; ChatGPT; Microsoft Copilot,Undergraduate students; Faculty; Academic staff,intro,"~4 hours — three 1-hour video modules with exercises, plus a 1-hour final project",online-asynchronous; self-paced,en,classroom-tested,1.0.0,2026-09-19,2026-09-19,CC-BY-4.0,,AWS-MLU Faculty Fellows 2026,,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/course-elements/mlu-000008-fundamentals-of-ai-literacy,,no
mlu-000009,Project O.R.A.C.L.E. — A GenAI-Enhanced International Relations Lab,course-elements,module,"A 1-credit lab module that gives International Relations students the hands-on research laboratory their STEM peers already have. A fictional 2025 alien-contact scenario casts students as ""non-expert but educated analysts"" and scaffolds them from finding where AI fails in Lab 1 to building a PartyRock app that works around those limits in Lab 2. The target it is built against is fluent-but-shallow AI output, and it closes with a one-on-one oral defense where students justify their research design and their AI use in person.",Nathan Kelly,Oklahoma City Community College,Political Science; Cross-disciplinary,Amazon PartyRock,Undergraduate students; Faculty,intro,A 6-week lab intensive series within a 1-credit-hour laboratory course,in-person,en,classroom-tested,1.0.0,2026-09-19,2026-09-19,CC-BY-4.0,MIT,AWS-MLU Faculty Fellows 2026,,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/course-elements/mlu-000009-project-oracle-ir-lab,,no
mlu-000010,Assignment Defender — AI-Proofing Assistant,ml-ai-applications,application,"A published Amazon Quick app that reads an assignment's goals, instructions, and rubric, then estimates how well generative AI could satisfy it on its own. Faculty set the maximum grade they think an AI-only submission should earn, and the app returns an AI Robustness Score, a SWOT analysis, and three redesign options at increasing strength. The goal is not to block AI but to find where it substitutes for the skill actually being assessed. No account or coding needed to use it.",Nathan Kelly,Oklahoma City Community College,Faculty Development; Political Science; Cross-disciplinary,Amazon Quick,Faculty; Adjunct faculty; Instructional designers; Academic staff,intro,~15–30 minutes per assignment analysed,self-paced; online-asynchronous,en,classroom-tested,1.0.0,2026-09-19,2026-09-19,CC-BY-4.0,,AWS-MLU Faculty Fellows 2026,assessment-tools,https://github.com/DTC-Consortium/DTC-Consortium-MLU/tree/main/mlu/ml-ai-applications/mlu-000010-assignment-defender,,no
